# Wavelength	Flux_normalized	Order
3811.08000000 1.80494258 5
3811.11000000 1.82556683 5
3811.14000000 1.61846540 5
3811.17000000 1.34083041 5
3811.20000000 1.20533671 5
3811.23000000 1.07174834 5
3811.26000000 0.80562463 5
3811.29000000 0.58333577 5
3811.32000000 0.40714892 5
3811.35000000 0.25653358 5
3811.38000000 0.15179353 5
3811.41000000 0.12748745 5
3811.44000000 0.10868028 5
3811.47000000 0.06927998 5
3811.50000000 0.11077996 5
3811.53000000 0.39568416 5
3811.56000000 0.64111494 5
3811.59000000 0.85802544 5
3811.62000000 0.98767525 5
3811.65000000 1.04831502 5
3811.68000000 1.09351983 5
3811.71000000 1.05431588 5
3811.74000000 0.93571799 5
3811.77000000 0.78906335 5
3811.80000000 0.64211449 5
3811.83000000 0.51481519 5
3811.86000000 0.44767131 5
3811.89000000 0.41521432 5
3811.92000000 0.38834294 5
3811.95000000 0.42117693 5
3811.98000000 0.53795283 5
3812.01000000 0.64952951 5
3812.04000000 0.65035765 5
3812.07000000 0.74915409 5
3812.10000000 0.96606374 5
3812.13000000 1.31370140 5
3812.16000000 1.82023751 5
3812.19000000 2.19438137 5
3812.22000000 2.25933650 5
3812.25000000 1.98659880 5
3812.28000000 1.48620994 5
3812.31000000 0.97872830 5
3812.34000000 0.75223317 5
3812.37000000 0.63167509 5
3812.40000000 0.61094727 5
3812.43000000 0.70227451 5
3812.46000000 0.91910805 5
3812.49000000 1.26451335 5
3812.52000000 1.59482619 5
3812.55000000 1.80122038 5
3812.58000000 1.90058039 5
3812.61000000 1.95641602 5
3812.64000000 2.00979039 5
3812.67000000 2.07620900 5
3812.70000000 2.03679690 5
3812.73000000 1.83302683 5
3812.76000000 1.55852621 5
3812.79000000 1.44182089 5
3812.82000000 1.23348432 5
3812.85000000 1.00129350 5
3812.88000000 0.75069048 5
3812.91000000 0.49403965 5
3812.94000000 0.27305964 5
3812.97000000 0.22667208 5
3813.00000000 0.26344421 5
3813.03000000 0.32823455 5
3813.06000000 0.45538596 5
3813.09000000 0.66088091 5
3813.12000000 0.73833538 5
3813.15000000 0.76059597 5
3813.18000000 0.69277722 5
3813.21000000 0.65574749 5
3813.24000000 0.70943575 5
3813.27000000 0.69118538 5
3813.30000000 0.85680543 5
3813.33000000 0.97256467 5
3813.36000000 1.06701787 5
3813.39000000 1.16607233 5
3813.42000000 1.22724454 5
3813.45000000 1.32790225 5
3813.48000000 1.47341791 5
3813.51000000 1.51057127 5
3813.54000000 1.42085319 5
3813.57000000 1.31975250 5
3813.60000000 1.33998623 5
3813.63000000 1.31240720 5
3813.66000000 1.31085485 5
3813.69000000 1.23327784 5
3813.72000000 1.02374957 5
3813.75000000 0.98491653 5
3813.78000000 0.89626993 5
3813.81000000 0.86122032 5
3813.84000000 0.78398128 5
3813.87000000 0.65398608 5
3813.90000000 0.66641274 5
3813.93000000 0.59482862 5
3813.96000000 0.58349295 5
3813.99000000 0.59060573 5
3814.02000000 0.59888127 5
3814.05000000 0.62391038 5
3814.08000000 0.52550513 5
3814.11000000 0.48669258 5
3814.14000000 0.44995209 5
3814.17000000 0.36696450 5
3814.20000000 0.23710531 5
3814.23000000 0.14533265 5
3814.26000000 0.15416600 5
3814.29000000 0.14726260 5
3814.32000000 0.12021831 5
3814.35000000 0.11775960 5
3814.38000000 0.18235983 5
3814.41000000 0.24837033 5
3814.44000000 0.35748384 5
3814.47000000 0.46092066 5
3814.50000000 0.53954226 5
3814.53000000 0.61628945 5
3814.56000000 0.59897769 5
3814.59000000 0.62677467 5
3814.62000000 0.70633510 5
3814.65000000 0.76393150 5
3814.68000000 0.72831189 5
3814.71000000 0.70384589 5
3814.74000000 0.52994424 5
3814.77000000 0.45497357 5
3814.80000000 0.47270388 5
3814.83000000 0.51156891 5
3814.86000000 0.59955920 5
3814.89000000 0.69003712 5
3814.92000000 0.72940591 5
3814.95000000 0.86042872 5
3814.98000000 1.06281681 5
3815.01000000 1.10382987 5
3815.04000000 0.99532525 5
3815.07000000 1.03097821 5
3815.10000000 1.04700322 5
3815.13000000 0.95247524 5
3815.16000000 0.80023000 5
3815.19000000 0.82110468 5
3815.22000000 0.93868114 5
3815.25000000 0.98261623 5
3815.28000000 1.00030597 5
3815.31000000 1.01621462 5
3815.34000000 0.84559433 5
3815.37000000 0.85676519 5
3815.40000000 0.96919300 5
3815.43000000 1.13173960 5
3815.46000000 1.25618918 5
3815.49000000 1.25333855 5
3815.52000000 1.31051894 5
3815.55000000 1.41254449 5
3815.58000000 1.52601924 5
3815.61000000 1.56758093 5
3815.64000000 1.51641986 5
3815.67000000 1.64836969 5
3815.70000000 1.66595886 5
3815.73000000 1.72983439 5
3815.76000000 1.71407487 5
3815.79000000 1.51301735 5
3815.82000000 1.26515085 5
3815.85000000 1.28781157 5
3815.88000000 1.24804223 5
3815.91000000 1.20329140 5
3815.94000000 1.17793196 5
3815.97000000 1.09766171 5
3816.00000000 0.94972578 5
3816.03000000 0.73523754 5
3816.06000000 0.59331430 5
3816.09000000 0.57645952 5
3816.12000000 0.65812033 5
3816.15000000 0.76645771 5
3816.18000000 0.93697364 5
3816.21000000 0.92903308 5
3816.24000000 0.82419972 5
3816.27000000 0.74272206 5
3816.30000000 0.70966358 5
3816.33000000 0.89189598 5
3816.36000000 1.08424248 5
3816.39000000 1.24293714 5
3816.42000000 1.32640835 5
3816.45000000 1.32061918 5
3816.48000000 1.39448657 5
3816.51000000 1.29953388 5
3816.54000000 1.21006338 5
3816.57000000 1.11265300 5
3816.60000000 0.93427738 5
3816.63000000 0.68821461 5
3816.66000000 0.60022005 5
3816.69000000 0.50544203 5
3816.72000000 0.44372522 5
3816.75000000 0.45018016 5
3816.78000000 0.49295008 5
3816.81000000 0.48048374 5
3816.84000000 0.65603931 5
3816.87000000 0.76330033 5
3816.90000000 0.80268097 5
3816.93000000 0.90327504 5
3816.96000000 0.99605990 5
3816.99000000 1.05919424 5
3817.02000000 1.04719476 5
3817.05000000 1.01978129 5
3817.08000000 1.01620961 5
3817.11000000 0.99995980 5
3817.14000000 1.07189332 5
3817.17000000 1.09162821 5
3817.20000000 1.11583410 5
3817.23000000 1.13715402 5
3817.26000000 1.10561820 5
3817.29000000 1.10572056 5
3817.32000000 1.17168281 5
3817.35000000 1.14882093 5
3817.38000000 1.04751374 5
3817.41000000 0.93992588 5
3817.44000000 0.86315292 5
3817.47000000 0.89906567 5
3817.50000000 0.90800069 5
3817.53000000 0.88998336 5
3817.56000000 0.87973857 5
3817.59000000 0.89059544 5
3817.62000000 0.77813269 5
3817.65000000 0.80002777 5
3817.68000000 0.78054126 5
3817.71000000 0.73909224 5
3817.74000000 0.76136174 5
3817.77000000 0.79447108 5
3817.80000000 0.85688043 5
3817.83000000 0.83432784 5
3817.86000000 0.75677181 5
3817.89000000 0.67135796 5
3817.92000000 0.59999634 5
